source,target
裁决,ジャッジメント
"消耗45点光明能量，召唤圣光轰炸目标区域，对敌人造成物理伤害，并根据当前已损失生命回复自身生命值（最低回复5%最大生命值）。

攻略：基于技能的机制，保证安全的前提下尽可能在生命值足够低时施放获得可观的生命回复。","光明エネルギーを45消費し、目標範囲に聖光の爆撃を呼び、敵に物理ダメージを与え、失ったHPに応じて自身を回復する（最低でも最大HPの5%）。

コツ：HPが低い（ただし致命的でない）ときに撃つと、安全を保ちつつ回復を最大化できる。"
灼热裁决,灼熱の裁き
清算,レコニング
"消耗2枚圣令，挥舞剑刃对自身周围的敌人造成物理伤害。

攻略：足够强大的伤害技能，在生存得到保证的时候进行施放。","聖令を2消費。周囲の全ての敵に炎の刃で斬りつけ、物理ダメージを与える。

コツ：強力な攻撃スキル。生存に問題がないときに使う。"
炽热清算,ブレイズレコニング
强化后的清算，伤害等于清算的2倍且初始暴击伤害为250%，不消耗圣令但仍可产生神圣能量。,強化された清算。清算の2倍のダメージを与え、初期会心ダメージが250%。聖令を消費しないが神聖エネルギーは生成する。
神圣壁垒,神聖の壁
"神圣壁垒
消耗神圣能量，撑起自身盾牌并扩散出神圣能量。对自己及身后半圆范围的队友产生强大的保护，在范围内的所有友方受到的所有伤害都将被神圣壁垒吸收。到达最大吸收量后消失。",神聖の壁 / 神聖エネルギーを消費して盾を掲げ、エネルギーを放つ。自身と背後の半円範囲の味方を守り、範囲内の全ての味方が受ける全ダメージを吸収する。最大吸収量に達すると消える。
圣光守卫,ホーリーガード
"召唤圣光守卫自己，持续时间内自动反制危险技能同时获得物理防御、伤害减免提升。期间如果受到致死伤害，则消耗掉此状态并免除死亡，立刻回复25%生命值。

攻略：强大的减伤效果和免除死亡机制，在面对巨大的生存压力时，可以起到不错的效果。","ホーリーガードを召喚して自身を守り、効果中は致死スキルを自動反制しつつ物理防御とダメージ軽減を高める。効果中に致死ダメージを受けると、効果を消費して死亡を回避し、即座にHPを25%回復する。

コツ：強力な軽減効果と死亡回避を兼ね、極めて高い生存の脅威に直面したとき非常に有用。"
断罪,パニッシュメント
对敌方目标造成200%攻击力物理伤害，跟随普通攻击技能升级/进阶进行成长。,敵に攻撃力200%分の物理ダメージを与える（通常攻撃のレベル/段階に応じて成長）。
强化断罪,強化パニッシュメント
强化后的断罪，伤害等于断罪的2倍。,強化されたパニッシュメント。パニッシュメントの2倍のダメージを与える。
冷酷征伐,コンクエスト
"消耗最多8层光铸屏障，召唤持续的光能快速盘旋在自身身边。每1秒对周围的敌人造成物理伤害，伤害间隔受到攻击速度属性影响，获得1层光铸屏障。
每对1个目标造成伤害为自身回复1%最大生命值（最多不超过5%）。施放时每消耗1层光铸屏障，效果持续2秒，最多持续16秒。

光铸屏障：每层使自身最终生命上限+2%。最多可以拥有10层光铸屏障，受到任何伤害都会消耗1层。持续25秒或所有层数被消耗完为止，每次获得层数时重置持续时间。

攻略：消耗光铸屏障来造成伤害和回复生命，在光铸屏障充足时施放可以达到良好的保护效果和爆发伤害效果。","光鋳の障壁を最大8スタック消費し、持続的な光能を自身の周囲に高速で旋回させる。毎秒、周囲の敵に物理ダメージを与え（間隔は攻撃速度の影響を受ける）、光鋳の障壁を1スタック得る。
対象1体にダメージを与えるごとに最大HPの1%を回復（最大5%）。発動時、光鋳の障壁を1スタック消費するごとに持続時間+2秒（最大16秒）。
光鋳の障壁：1スタックごとに最大HP+2%（最大10スタック）。ダメージを受けると1スタック消費。25秒または全スタック消費まで持続。スタック獲得時に持続時間が更新される。

コツ：光鋳の障壁を消費してダメージと回復を行う。障壁が十分溜まったときに撃つと優れた防御と爆発を両立できる。"
光明决心,セイクリッドオース
"获得必胜的决心，向周围10米内敌方目标（距离最近优先）投掷5个盾牌造成物理伤害并打断目标，之后每2秒投掷1次同时获得10点光明能量。并在之后10秒时间内减免每次受到的伤害，减免量为自身最大生命值的一定比例，期间自动反制危险技能。

攻略：施放不需要消耗光明能量和圣令，且有不错的生存能力，通常可作为起手式进行施放。","必勝の決意を得て、周囲10m内の敵（近い順）に5枚の盾を投げ、物理ダメージを与えて行動を中断させる。その後2秒ごとに1回投げ、その都度光明エネルギーを10得る。次の10秒間、受ける各ダメージを自身の最大HPの一定割合だけ軽減し、致死スキルを自動反制する。

コツ：光明エネルギーや聖令を消費せずに撃て、確かな生存力を持つため起手に適する。"
圣剑,ホーリーソード
"消耗3枚圣令，从目标脚下向上穿出一柄利剑造成物理伤害，同时获得5层光铸屏障。

光铸屏障：每层使自身最终生命上限+2%。最多可以拥有10层光铸屏障，受到任何伤害都会消耗1层。持续25秒或所有层数被消耗完为止，每次获得层数时重置持续时间。

攻略：拥有不俗伤害能力的同时，可以最大效率的补充光铸屏障。","聖令を3消費し、対象の足元から剣を突き上げて物理ダメージを与え、光鋳の障壁を5スタック得る。
光鋳の障壁：1スタックごとに最大HP+2%（最大10スタック）。ダメージを受けると1スタック消費。25秒または全スタック消費まで持続。スタック獲得時に持続時間が更新される。

コツ：相応のダメージ能力を持ちつつ、最大効率で光鋳の障壁を補充できる。"
"投掷盾牌
消耗光明能量，将盾牌旋转投出，对碰到的敌人造成物理伤害并打断目标，并使其对自身造成的所有伤害降低，持续一段时间。",シールドスロー / 光明エネルギーを消費して盾を回転させて投げ、当たった敵に物理ダメージを与えて行動を中断させ、一定時間その敵が自身に与える全ダメージを軽減する。
灵魂乐手,ビートパフォーマー
琴弦撩拨,スラップビート
"安和曲
一种拥有魔力的曲子，每次造成伤害都将平均为最多5名受伤的友方（优先队友）回复生命值，回复的生命值等于造成伤害的20%。
生命值满额的友方不分摊该部分治疗量。如果队友的生命值都处于满值状态，造成伤害转换的治疗量将视为溢出治疗。
演奏能量：演奏鸣奏技能（鸣奏·英勇乐章、鸣奏·愈合乐章）所需的能量，每1秒回复1点。
演奏热情：演奏曲目所必须的条件，每5秒回复1个。

普通攻击·琴弦撩拨
撩拨琴弦，让琴弦发出炽热的音波，对敌方目标造成远距离魔法伤害。

攻略：在演奏热情和演奏能量不溢出的情况下，穿插普通攻击可以获得稳定的治疗效果，搭配天赋可以将这部分治疗存储起来在应急时有不错的效果。","安和曲 / 魔力を帯びた旋律。ダメージを与えるたびに、与えたダメージの20%に等しいHPを最大5名の味方（パーティ優先）に均等に回復する。
HP満タンの味方は回復対象に含まれない。全味方が満タンの場合、回復は溢れ扱いとなる。
演奏エネルギー：鳴奏スキル（ブレイブメロディー、ヒーリングメロディー）の演奏に必要なエネルギー。毎秒1回復。
演奏熱情：演奏に必要な条件。5秒ごとに1回復。

通常攻撃・スラップビート / 弦を弾いて灼熱の音波を放ち、敵に遠距離魔法ダメージを与える。

コツ：演奏熱情と演奏エネルギーが上限でないときに通常攻撃を挟むと安定した回復を得られる。天賦と合わせるとこの回復を蓄えて緊急時に使える。"
增幅节拍,ハードディストーション
"消耗3个演奏热情，强劲地挥舞吉他对敌人造成强有力的魔法伤害。

演奏热情：演奏曲目所必须的条件，每5秒回复1个。

攻略：覆盖率较高的伤害技能，保证演奏热情不溢出时施放。","演奏熱情を3消費し、ギターを力強く振るって敵に強力な魔法ダメージを与える。

演奏熱情：演奏に必要な条件。5秒ごとに1回復。

コツ：高回転のダメージスキル。演奏熱情が溢れる前に撃つ。"
愈合节拍,コーラスヒーリング
"消耗3个演奏热情，弹奏出拥有治愈能力的曲目，治疗自己和周围生命值最低的友方目标（优先队友），治疗量与自己的魔法攻击相关（且额外附加3%目标生命值上限的固定治疗量）。

演奏热情：演奏曲目所必须的条件，每5秒回复1个。

攻略：覆盖率较高的治疗技能，保证演奏热情不溢出时施放。","演奏熱情を3消費し、癒しの旋律を奏で、自身と周囲で最もHPの低い味方（パーティ優先）を回復する。回復量は魔法攻撃力に応じる（さらに対象の最大HPの3%相当の固定回復が加わる）。

演奏熱情：演奏に必要な条件。5秒ごとに1回復。

コツ：高回転の回復スキル。演奏熱情を溢れさせないよう撃つ。"
聚合乐章,ハーモニックアンセム
"嗨翻时刻即将到来，高高跃起用吉他猛击地面，在目标位置迸发出火花对范围内敌方目标造成魔法伤害。
增幅节拍每造成一次伤害（命中多个目标最多计数一次）使得聚合乐章迸发的攻击段数+1，最高+3。

攻略：需要充分结合增幅节拍加强攻击段数的机制，尽可能的保证每一次聚合乐章都拥有较高的伤害效率。","高く跳んでギターを地面に叩きつけて火花を散らし、範囲内の敵に魔法ダメージを与える。
ハードディストーションがダメージを与えるたび（多対象命中でも最大1回）、ハーモニックアンセムのヒット数が+1（最大3）。

コツ：ハードディストーションでヒット数を増やす仕組みを活かし、ハーモニックアンセムの威力を高める。"
烈焰狂想,フレイムラプソディー
"我的激情仍在燃烧！消耗5个演奏热情，在脚下摊开一辐形态范围随机的即兴涂鸦，治愈10名友方（优先队友），同时对范围内的敌方目标造成魔法伤害。
自身处于涂鸦内时，获得10%火元素加成。
涂鸦同时最多只存在1个。

演奏热情：演奏曲目所必须的条件，每5秒回复1个。

攻略：拥有最大范围的治疗和伤害效果，尽可能保证冷却结束后施放。","情熱はまだ燃えている！演奏熱情を5消費し、足元にランダムな形のグラフィティを展開。10名の味方（パーティ優先）を回復しつつ、範囲内の敵に魔法ダメージを与える。
グラフィティ内にいる間、自身は火属性ボーナス+10%を得る。
グラフィティは同時に1つのみ存在できる。

演奏熱情：演奏に必要な条件。5秒ごとに1回復。

コツ：回復・ダメージともに最大範囲を誇る。CD明けに撃って効果を最大化する。"
鸣奏·英勇乐章,ブレイブメロディー
"这是一首充满热情的曲目，当演奏能量大于15时可以开启演奏，只要开始演奏将无法停止，冷却时间5秒。
鸣奏·英勇乐章演奏期间每1秒消耗6点演奏能量，同时每间隔3秒为10名友方（优先队友）回复生命值，治疗间隔受到急速属性影响。
鸣奏·英勇乐章演奏期间每演奏7秒，你的琴弦叩击派生为猛烈挥击。
鸣奏·英勇乐章演奏期间安和曲的转换效果+50%。

演奏能量：演奏鸣奏技能（鸣奏·英勇乐章、鸣奏·愈合乐章）所需的能量，每1秒回复1点。

攻略：需要注意技能是无法主动结束的，需要掌握开启时机，使得鸣奏·英勇乐章对于安和曲以及猛烈挥击的效率最大化。","高揚の旋律。演奏エネルギーが15を超えると演奏を開始でき、一度始めると止められない。CD：5秒。
ブレイブメロディー演奏中、毎秒6の演奏エネルギーを消費し、3秒ごとに10名の味方のHPを回復する（間隔はファストの影響を受ける）。
演奏中、7秒ごとにストロークビートが「バイオレントスイング」に派生する。
演奏中、安和曲の変換効果+50%。

演奏エネルギー：鳴奏スキルの演奏に必要。毎秒1回復。

コツ：手動で止められないため、開始タイミングを計り、安和曲とバイオレントスイングとの相乗効果を最大化する。"
鸣奏·愈合乐章,ヒーリングメロディー
"这是一首舒缓的曲目，当演奏能量大于15时可以开启演奏，同时可以随心所欲的结束，每次开始还可以放置一个音箱进行协奏（鸣奏·愈合乐章结束音箱消失），冷却时间5秒。
鸣奏·愈合乐章演奏期间每1秒消耗3点演奏能量，同时每间隔1秒为10名友方（优先队友）回复生命值，治疗间隔受到急速属性影响。
音箱：每当施放愈合节拍、激涌五重奏、升格·劲爆全场、升格·巡演曲时，音箱将同步施放一次该技能。。

演奏能量：演奏鸣奏技能（鸣奏·英勇乐章、鸣奏·愈合乐章）所需的能量，每1秒回复1点。

攻略：要熟练掌握音箱的放置位置和时机，使得音箱触发的专精型治疗技能施放频率尽可能高覆盖的友方目标尽可能的多。","穏やかな旋律。演奏エネルギーが15を超えると自由に演奏を開始でき、好きなときに止められる。開始ごとにスピーカーを1台設置して協奏する（演奏終了でスピーカー消失）。CD：5秒。
ヒーリングメロディー演奏中、毎秒3の演奏エネルギーを消費し、1秒ごとに10名の味方を回復する（間隔はファストの影響を受ける）。
スピーカー：コーラスヒーリング、サージクインテット、響演・バッドネスステージ、アレグロヴィヴァーチェを撃つと、スピーカーも同じスキルを同時に発動する。

演奏エネルギー：鳴奏スキルの演奏に必要。毎秒1回復。

コツ：スピーカーの設置位置とタイミングの習得が重要。"
激涌五重奏,サージクインテット
"让激情再次涌动！消耗3个演奏热情，让疲惫的人们再次燃动起来。连续的弹奏为范围内的10名友方（优先队友）回复生命值并附带坚韧和弦，每层坚韧和弦额外提升0.5%生命上限，最多额外提升2.5%生命上限，持续5秒（层数叠加满5层后无法刷新持续时间）。

演奏热情：演奏曲目所必须的条件，每5秒回复1个。

攻略：拥有最高的治疗量，精准的判定团队的健康状况，使得这部分治疗量尽可能的不溢出。","もう一度情熱を沸き立たせろ！演奏熱情を3消費し、疲れた者の士気を再び燃え上がらせる。連続した音色で範囲内の10名の味方（パーティ優先）を回復し、「堅韌の和音」を付与する。堅韌の和音は1スタックごとに最大HP+0.5%（最大2.5%）、5秒持続（5スタック到達後は持続時間を更新できない）。

演奏熱情：演奏に必要な条件。5秒ごとに1回復。

コツ：最高の回復量を誇る。味方のHP状況を見極めて効率を最大化し、過剰回復を防ぐ。"
热情挥洒,パッショネート
"揉捻琴弦，随后朝前方喷出炽热的火焰对范围内敌方目标造成魔法伤害。
蓄力会使技能范围和伤害产生变化。
1阶：吟唱0.7秒，前方8米半径扇形范围。
2阶：吟唱1.4秒，前方8米半径扇形范围，伤害提升50%。
3阶：吟唱2.1秒，前方8米半径扇形范围，伤害提升100%。

攻略：高额的伤害，结合天赋效果搭配音箱施放，可以获得高质量的伤害和治疗效果，需要注意施放过程中的环境安全。","弦を弾いて前方へ灼熱の炎を放ち、範囲内の敵に魔法ダメージを与える。
チャージにより範囲とダメージが変化する。
1段階：0.7秒詠唱、前方8mの扇形範囲。
2段階：1.4秒詠唱、前方8mの扇形範囲、ダメージ+50%。
3段階：2.1秒詠唱、前方8mの扇形範囲、ダメージ+100%。

コツ：高ダメージスキル。天賦効果とスピーカーを合わせると高品質なダメージと回復を得られる。発動中は周囲の安全に注意。"
升格·劲爆全场,響演・バッドネスステージ
"作为一个狂热的音乐爱好者，你的激情弹奏立即获得5个演奏热情，同时将感染身边的友方目标，为他们带来治疗效果的同时使其获得一个持续10秒的护盾，并对周围敌方目标造成魔法伤害。
演奏热情：演奏曲目所必须的条件，每5秒回复1个。

攻略：紧急情况下强大的护盾可以减轻团队的生存压力，把握好施放时机。","熱狂的な音楽愛好家として、即興演奏で即座に演奏熱情を5得る。同時に周囲の味方を回復し、10秒持続のシールドを付与しつつ、周囲の敵に魔法ダメージを与える。
演奏熱情：演奏に必要な条件。5秒ごとに1回復。

コツ：緊急時、この強力なシールドはチームの生存負担を和らげる。タイミングを計って撃つ。"
安可,アンコール
"这是一首同粉丝互动再适合不过的曲目了。为10名友方目标（优先队友）施加安可效果，持续10秒。
安可：霸体，每次施放伤害或者治疗专精技能时有50%固定几率触发一记安可琴弦，对当前目标造成伤害或对生命最低的友方目标（优先队友）回复生命（优先触发输出）。

攻略：尽可能的配合团队的爆发使用，在队友最好的状态施放，可最大化安可的伤害和治疗效果。","ファンとの交流に最適な一曲。10名の味方に10秒間アンコール効果を付与する。
アンコール：スーパーアーマーを得る。攻撃または回復のマスタリースキルを撃つたびに50%の固定確率で「アンコールの弦」を1回発動し、現在の対象にダメージを与えるか最もHPの低い味方を回復する。

コツ：チームの爆発に合わせて撃ち、味方が最良の状態のときに使うとアンコールのダメージと回復を最大化できる。"
万众瞩目,スポットライト
"在接下来一段时间内提升自身魔法攻击力，同时强化你接下来施放的一个技能。

特殊攻击：接下来2次特殊攻击不消耗演奏热情。
激涌五重奏：治疗次数翻倍。
鸣奏·英勇乐章：触发猛烈挥击的时间减半。
聚合乐章：造成的伤害翻倍。
热情挥洒：无需吟唱，直接以最高形态施放。

攻略：需要对战斗环境以及自身流派进行合理的判断，在合适的时机施放合适的增强技能。","一定時間自身の魔法攻撃力を上げ、次に撃つスキルを強化する。

特殊攻撃：次の特殊攻撃2回が演奏熱情を消費しない。
サージクインテット：回復回数が倍になる。
ブレイブメロディー：バイオレントスイングの発動に要する時間が半減。
ハーモニックアンセム：与えるダメージが倍になる。
パッショネート：詠唱不要で最高形態のまま撃てる。

コツ：戦闘環境と自身の型を見極め、最適なタイミングで適切な強化を適用する。"
猛烈挥击,バイオレントスイング
"奋力挥舞吉他，对周围敌方目标造成300%攻击力魔法伤害，同时使得聚合乐章立即获得1层充能，跟随普通攻击技能升级/进阶进行成长。

攻略：尽量保证聚合乐章进入冷却后施放。","ギターを力強く振るい、周囲の敵に攻撃力300%分の魔法ダメージを与え、ハーモニックアンセムが即座に1チャージを得る（通常攻撃のレベル/段階に応じて成長）。

コツ：ハーモニックアンセムがCDに入ってから撃つ。"
完结！愈合乐章,フィナーレ！ヒーリングメロディー
琴弦叩击,ストロークビート
"安和曲
一种拥有魔力的曲子，每次造成伤害都将平均为最多5名受伤的友方（优先队友）回复生命值，回复的生命值等于造成伤害的20%。
生命值满额的友方不分摊该部分治疗量。如果队友的生命值都处于满值状态，造成伤害转换的治疗量将视为溢出治疗。
演奏能量：演奏鸣奏技能（鸣奏·英勇乐章、鸣奏·愈合乐章）所需的能量，每1秒回复1点。
演奏热情：演奏曲目所必须的条件，每5秒回复1个。

普通攻击·琴弦叩击
叩击吉他的侧板，产生狂热的节奏，对自身周围的近距离敌方目标造成魔法伤害。

攻略：在演奏热情和演奏能量不溢出的情况下，穿插普通攻击可以获得稳定的治疗效果，搭配天赋可以将这部分治疗存储起来在应急时有不错的效果。","安和曲 / 魔力を帯びた旋律。ダメージを与えるたびに、与えたダメージの20%に等しいHPを最大5名の味方（パーティ優先）に均等に回復する。
HP満タンの味方は回復対象に含まれない。全味方が満タンの場合、回復は溢れ扱いとなる。
演奏エネルギー：鳴奏スキルの演奏に必要なエネルギー。毎秒1回復。
演奏熱情：演奏に必要な条件。5秒ごとに1回復。

通常攻撃・ストロークビート / ギターの側板を叩いて熱狂的なリズムを生み、周囲の近距離の敵に魔法ダメージを与える。

コツ：演奏熱情と演奏エネルギーが上限でないときに通常攻撃を挟むと安定した回復を得られる。天賦と合わせるとこの回復を蓄えて緊急時に使える。"
激昂·热情挥洒,レイジパッショネート
"引导6秒，持续的朝前方喷出炽热的火焰对范围内敌方目标造成总计1000%攻击力魔法伤害。

攻略：持续移动，保证生存环境良好情况下尽可能的打出更多伤害。","6秒間チャネルし、前方へ灼熱の炎を吐き続けて範囲内の敵に合計攻撃力1000%分の魔法ダメージを与える。

コツ：移動し続け、安全を確保しつつできるだけ多くのダメージを出す。"
升格·无限狂想,ブレイブフェローチェ
"立刻施放一个强有力的音域对周围敌方目标造成魔法伤害，为友方目标带来治疗效果的同时施加一个持续10秒的护盾。同时演奏热情上限翻倍，并获得满额演奏热情。

演奏热情：演奏曲目所必须的条件，每5秒回复1个。

攻略：紧急情况下强大的护盾可以减轻团队的生存压力，把握好施放时机，获得满额演奏热情后可开启爆发。","強力な音域を即座に放ち、周囲の敵に魔法ダメージを与える。周囲の味方を回復し、10秒持続のシールドを付与する。演奏熱情の上限を倍にし、演奏熱情を全回復する。

演奏熱情：演奏に必要な条件。5秒ごとに1回復。

コツ：緊急時にチームの生存負担を和らげる強力なシールド。タイミングを計って撃つ。演奏熱情が満タンになったら爆発に入る。"
升格·巡演曲,アレグロヴィヴァーチェ
"边走边进行演奏的巡回曲目。演奏的持续期间，为友方持续回复生命。同时对周围敌方目标造成魔法伤害。每治疗1名友方目标使得治疗效果+6%，最高+30%；每击中1个敌方目标使得伤害+6%，最高30%。

攻略：持续型的治疗和伤害效果，需要基于目标的位置和多少，调整自己的位置让技能的效率最大化。","移動しながら演奏する巡回曲。演奏中、味方を回復し続け、周囲の敵に魔法ダメージを与える。回復した味方1名ごとに回復効果+6%（最大30%）、命中した敵1体ごとにダメージ+6%（最大30%）。

コツ：持続的な回復とダメージ。対象の数と位置に応じて立ち位置を調整し効率を最大化する。"
传奇野猪-嚎叫,伝説のボア-ハウル
传奇雄鹰-嚎叫,伝説の臣鷹-ハウル
强制受击,強制被弾
"嘲讽当前目标，且持续时间内大幅提升自身对目标的仇恨值，持续5秒。

技能不受冷却效果影响","対象を挑発し、5秒間その対象へのヘイトを大きく上昇させる。

このスキルはCD効果の影響を受けない。"
超频震爆·止,震爆・止
"释放能量波动，打断自身10米范围内的目标，同时嘲讽受影响的目标，且持续时间内大幅提升自身对目标的仇恨值，持续10秒。

技能不受冷却效果影响","エネルギー波を放ち、10m内の全対象を中断させて挑発する。10秒間、対象へのヘイトを大きく上昇させる。

このスキルはCD効果の影響を受けない。"
不屈斗志·御,不屈の闘志・御
"提升45%额外伤害减免，同时获得霸体，持续10秒。

技能不受冷却效果影响","10秒間、追加ダメージ軽減45%とスーパーアーマーを得る。

このスキルはCD効果の影響を受けない。"
静息指令·御,静息指令・御
"隐藏自身的气息，不再产生仇恨值，并解除自身所有异常状态，持续10秒。

技能不受冷却效果影响","自身の気配を消してヘイトを発生させなくし、10秒間自身の全デバフを解除する。

このスキルはCD効果の影響を受けない。"
超频震爆·默,震爆・黙
"释放能量波动，打断自身5米范围内的目标，并在5秒内持续沉默受影响的目标。

技能不受冷却效果影响","エネルギー波を放ち、5m内の全対象を中断させて5秒間沈黙させる。

このスキルはCD効果の影響を受けない。"
复苏祷言,復活の祈り
"复活距离自身3米范围内距离最近的一名队友。

技能不受冷却效果影响

虚弱:60秒内无法受到同类型效果影响（虚弱效果在噩梦难度团队副本中会被放大）","3m内の最も近い味方を蘇生する。

このスキルはCD効果の影響を受けない。
虚弱：60秒間、同種の効果を受けられない（虚弱効果はナイトメア難易度のチームダンジョンで強化される）。"
生命屏障,ライフバリア
"立即为自己和周围至多10名友方目标（优先队友）施加基于目标20%最大生命值的护盾，且护盾存在时提升15%额外伤害减免，持续10秒。

技能不受冷却效果影响","自身と周囲最大10名の味方（パーティ優先）に最大HPの20%相当のシールドを即座に付与し、シールドが存在する間、追加ダメージ軽減15%を10秒間得る。

このスキルはCD効果の影響を受けない。"
"驱散25米范围内至多10名友方（优先队友）所受负面效果。

技能不受冷却效果影响","25m内の最大10名の味方（パーティ優先）のデバフを解除する。

このスキルはCD効果の影響を受けない。"
超频震爆,震爆
"施放能量波动，打断自身5米范围内的目标。

技能不受冷却效果影响","エネルギー波を放ち、5m内の全対象を中断させる。

このスキルはCD効果の影響を受けない。"
不屈斗志,不屈の闘志
"提升35%额外伤害减免，持续5秒。技能可以充能2层。

技能不受冷却效果影响","5秒間、追加ダメージ軽減35%を得る。このスキルは2チャージ持つ。

このスキルはCD効果の影響を受けない。"
静息指令·极,静息指令・極
能量回流,エネルギー回流
"立即恢复50%体力值，并且增加15%移动速度，持续5秒。

技能不受冷却效果影响","即座にスタミナを50%回復し、5秒間移動速度を15%上昇させる。

このスキルはCD効果の影響を受けない。"
超级拦截,スーパー迎撃
显影药水,顕影ポーション
超级显影药水,スーパー顕影ポーション
拦住娜宝（卷心菜调查团专用）,ナッポを止めろ（キャベツ調査団専用）
跳舞,舞い
坐下,座る
推,押す
拦住娜宝,ナッポを止めろ！
放置水晶,クリスタル設置
组装,組み立て
虚蚀践踏,虚蝕の踏破
飘浮和滑翔,浮遊と滑空
绝技！灵狐突袭,絶技！フォックスレイド
绝技！贯穿矢,絶技！貫通の矢
奥义！狐影破袭,奥義！シャドウストライク
奥义！强袭炮台,奥義！アサルトタレット
绝技！风影缄默,絶技！シャドウシール
奥义！护佑领域,奥義！プロテクトフィールド
绝技！飞轮火舞,絶技！ファイアロンド
绝技！挫志咆哮,絶技！ドレッドロア
退出陶洛斯变身,ドロシー変身解除
退出露西变身,ルーシィ変身解除
退出纳兹变身,ナツ変身解除
奥义！星灵魔导士,1818024165
奥义！灭龙魔导士,1818024166
退出变身,変身解除
次元切换,次元シフト
重塑,再構築
加速号召,加速召集
显影术,顕影術
传送回检查点,チェックポイントへ転送
虚蚀传递,虚蝕の伝播
雷电汇聚,雷電収束
共鸣雷核心,共鳴雷コア
星元之愈,星元の癒し
机器人加速,ロボット加速
放置烟花,花火設置
冰雪射线,フロストビーム
烈焰喷射,フレイムジェット
集结,集結
疾驰,疾走
共鸣符文之力,共鳴ルーンの力
强力一击,強力な一撃
放置芒辉之种,芒輝の種設置
解除幻兽之力,幻獣の力解放
放置爆桶,爆発樽設置
强力幻影冲锋,強力な幻影チャージ
碎晶雷,砕晶雷
火焰喷射器,火炎放射器
木棍,木の棒
食物补充,食料補給
向前走,前進
向右走,右移動
发射泡泡,バブルショット
摇摆共舞,スイングダンス
小猪冲锋,子豚チャージ
小猪快跑,子豚ダッシュ
特快连跳,特急連続ジャンプ
飞兔弹射,飛兎の射出
猎手扑冲,ハンターの突進
掘影突袭,掘影突襲
渊影突袭,淵影突襲
磁吸开关,磁力スイッチ
测试换模型,モデル切替テスト
球球冲撞,ボール衝突
锦绣光华,錦繍の光華
腾空冲刺,空中ダッシュ
泡泡飘浮,バブルフロート
极限漂移,ハイパードリフト
极限冲刺,ハイパースプリント
长空一跃,大空への跳躍
彩虹之跃,虹の跳躍
飞速疾驰,高速疾走
超级疾驰,スーパーダッシュ
破晓之跃,暁の跳躍
认真一掷,本気の一投
巨像出击,巨像の出撃
机像出击,機像出撃
深海垂钓,深海釣り
立体“鱼雷”,立体「魚雷」
鲤跃天梯,鯉の滝登り
奇妙快递,ふしぎ宅配
龟划疾进,亀の疾走
追踪导航,追跡ナビゲーション
风驰电掣,風駆け疾走
极限时刻,リミットブレイク
燃擎时刻,燃擎の刻
律动节拍,リズミックビート
闪耀姿态,輝きのポーズ
星云翱翔,星雲グライド
南瓜巡游,パンプキンパレード
魔法漂浮,マジックフロート
移形把戏,瞬間移動の妙技
幸运游戏,幸運ゲーム
爆轰加速,爆轟加速
涂鸦灵感,グラフィティの閃き
冬日之跃,冬の跳躍
雪花阶梯,雪花の階段
冰羽飞行,氷羽飛行
漫游之路,漫遊の路
摇曳逐花,揺らめく花追い
悠游献礼,悠遊の献礼
弹射加速,射出加速
甜径奇旅,甘い道のり
游龙幻形·身,遊龍幻形・胴
游龙幻形·尾,遊龍幻形・尾
游龙幻形·首,遊龍幻形・首
瑞狮幻形·尾,瑞獅幻形・尾
瑞狮幻形·首,瑞獅幻形・首
贯月腾跃,貫月の跳躍
长龙共舞,長龍共舞
群狮贺瑞,群獅の賀瑞
蹬跃赐福,跳躍の賜福
音轨滑行,ミュージカルグライド
音爆升空,音爆上昇
融于黑夜,夜に溶ける
夜魅旋舞,夜魅の旋舞
丢雪球,雪玉投げ
雪球滚滚,転がる雪玉
取消变身,変身解除
退出玩具,おもちゃ解除
幽灵手牌,ゴーストハンドカード
暗影手牌,シャドウハンドカード
漂浮泡泡,浮遊バブル
脚踢,キック
拳打,パンチ
冰爆,氷爆
召唤落雷,落雷召喚
烟雾弹,煙幕弾
召唤弹簧,バネ召喚
定时自爆,時限自爆
恢复体能,スタミナ回復
虚化技能,虚化スキル
体力药剂,スタミナポーション
召唤额外云朵,追加の雲召喚
低重力药剂,低重力ポーション
召唤游泳池,プール召喚
召唤火焰炮台,火炎砲台召喚
召唤弹幕炮台,弾幕砲台召喚
召唤天火炮台,天火砲台召喚
召唤减速装置,減速装置召喚
召唤引力装置,引力装置召喚
静止不动,静止
元素盾,属性シールド
放置火种,火種設置
森之庇护,森の庇護
烈风爆破,ゲイルブラスト
炸弹,爆弾
放置炸药,爆薬設置
引爆,起爆
投掷爆桶,爆発樽投げ
引爆炸弹,爆弾起爆
搬运装置,運搬装置
放置装置,装置設置
随机变幻,ランダム変化
取消固定,固定解除
定向变幻,指定変化
警备升级,警備アップグレード
超电磁炮,超電磁砲
娜宝监视官,ナッポ監視官
飞鱼领域,飛魚領域
极巨化,極巨化
慢潮翻涌,緩潮の逆巻き
瞬步,瞬歩
园艺师,園芸師
迷雾,霧
冰墙,氷壁
反射盾,反射シールド
无上限,上限解放
幸运硬币,ラッキーコイン
替身,替え身
土之奥义,土の奥義
奥尔维拉变身,オルヴェラ変身
探测术,探知術
舞力全开,ダンスバトル
大基本功,基礎鍛錬
