source,target
"Advance Quest ""Starland Guide - Starland Club""",クエスト「スターリーガイド-スターリークラブ」を進める
"Advance Quest ""Starland Guide - Starland Town""",クエスト「スターリーガイド-スターリータウン」を進める
"Advance Quest ""Starland Guide - Sightseeing on Starland""",クエスト「スターリーガイド-スターリー島の景色探し」を進める
"Advance Quest ""Starland Guide - Words on a Postcard""",クエスト「スターリーガイド-ハガキに書かれた言葉」を進める
"Advance Quest ""Starland Guide - Star Orbiter""",クエスト「スターリーガイド-リングスター号」を進める
"Advance Quest ""Starland Guide - Eye of the Tides""",クエスト「スターリーガイド-潮汐の眼」を進める
"Advance the quest ""Project Traveler - Irene""",クエスト「旅人計画-アイリーン」を進める
"Advance the quest ""Project Traveler - Alida""",クエスト「旅人計画-アリーダ」を進める
"Advance the quest ""Project Traveler - Owen""",クエスト「旅人計画-オーウェン」を進める
"Advance the quest ""Project Traveler - Sasha""",クエスト「旅人計画-シャーシャ」を進める
"Advance the quest ""Project Traveler - Julian""",クエスト「旅人計画-ジュリアン」を進める
"Advance the quest ""Project Traveler - Daisy""",クエスト「旅人計画-デイジー」を進める
"Advance the quest ""Project Traveler - Hunter""",クエスト「旅人計画-ハンター」を進める
"Advance the quest ""Project Traveler - Felinx""",クエスト「旅人計画-フェリンクス」を進める
"Advance the quest ""Project Traveler - Brooke""",クエスト「旅人計画-ブルック」を進める
"Advance the quest ""Project Traveler - Brock""",クエスト「旅人計画-ブロック」を進める
"Advance the quest ""Project Traveler - Liam""",クエスト「旅人計画-リアム」を進める
"Advance the quest ""Project Traveler - Leo""",クエスト「旅人計画-リオ」を進める
"Advance the quest ""Project Traveler - Reed""",クエスト「旅人計画-ルイド」を進める
Quest Icon,クエストアイコン
Quest Item,クエストアイテム
Quest Types,クエストタイプについて
Quest assist connection,クエスト補助ライン
Quentin,クエンティン
Rockpea,クジャクカサゴ
Rockpea Scholar,クジャクカサゴ学者​
Rockpea Fishing King,クジャクカサゴ釣り王
Whale,クジラ
Bearcut Patty,クマのハニーステーキ
Bearcut Patty Lv.1,クマのハニーステーキG1
Bearcut Patty Lv.2,クマのハニーステーキG2
Bearcut Patty Lv.3,クマのハニーステーキG3
Bear Signboard,クマの標識
Klein,クライン
Kulao,クラウ
Klaus Anatole Sterling,クラウス・アナトール・スターリング
Jellyfish,クラゲ
Classical Wall Lamp,クラシックなウォールライト
Classic Locker,クラシックな収納棚
Wood Slats,クラシックな広間
Choice of Class Paths,クラスの型選択
Class Exchange,クラスの書交換
Class Guide,クラスガイド
Class Skills,クラススキル
Class Skill,クラススキルについて
Class Skills Pack,クラススキルパック
Universal Imagine Type I,クラス共通型・第1イマジン
Universal Imagine Type II,クラス共通型・第2イマジン
Class-Exclusive,クラス専用
Class-specific Attack,クラス攻撃
Class Rhapsody,クラス狂想
Class Book of Tiger Lv.1,クラス虎の巻G1
Class Book of Tiger Lv.2,クラス虎の巻G2
Class Book of Tiger Lv.3,クラス虎の巻G3
Class Fashion 1-out-of-7 Set,クラス衣装7種選択パック
Class Selection,クラス選択
Class DEF,クラス防御
Groundbreaker Blade - Conquest,クラッシュブレード・征伐
Life Skill,クラフト​クラス
Life Skill - Buy Now,クラフトクラス-一括購入について
Life Skill - Gathering Commission,クラフトクラス-採集依頼
Life Skills - Culinary Overview,クラフトクラス-料理について
Life Skills - Weaving Instructions,クラフトクラス-織物について
Life Skills - Alchemy Instructions,クラフトクラス-錬金について
Life Skill/Gemcrafting,クラフトクラス/工芸
Life Skill/Smelting,クラフトクラス/鍛造
Life Skill 1,クラフトクラス1・セット
Life Skill 2,クラフトクラス2・セット
Life Skill EXP Book - Select,クラフトクラスEXPブック選択ボックス
Part-time Life Skill,クラフトクラスによるクラフト
Life Skill Focus,クラフトクラスのスタミナ消費
Life Skill Pack,クラフトクラスパック
Life Skills - Gemcrafting Instructions,クラフトクラス・工芸
Life Skills - Artisanry Instructions,クラフトクラス・木工
Life Skills - Botany Instructions,クラフトクラス・植生学
Life Skills - Gemology Instructions,クラフトクラス・結晶学
Life Skills - Mineralogy Instructions,クラフトクラス・鉱物学
Life Skills - Smelting Instructions,クラフトクラス・鍛造
Life Skill Commission Gathering,クラフトクラス採集依頼
Life Skills Mastery,クラフトクラス熟練ポイント
Reset Ticket,クラフトクラス熟練ポイントリセット券
Life Skill Store,クラフトクラス素材ショップ
Life Skills Cultivation,クラフトクラス育成
Choose a Life Skill,クラフトクラス選択
Part-time Work Introduction,クラフトモードについて
Crafting Recipe: Aurora Tree,クラフトレシピ：オーロラの木
Crafting Recipe: Gingerbread Reindeer,クラフトレシピ：トナカイジンジャーマン
Crafting Recipe: Hanging Festivity - Green,クラフトレシピ：ハンギングフェス・緑
Crafting Recipe: Hanging Festivity - Red,クラフトレシピ：ハンギングフェス・赤
Crafting Recipe: Snuggly Gingerbread Duo,クラフトレシピ：ペタペタジンジャーマン
Crafting Recipe: Winter Pal I,クラフトレシピ：冬の相棒・一
Crafting Recipe: Winter Pal II,クラフトレシピ：冬の相棒・二
Crafting Recipe: First-Snow Tree,クラフトレシピ：初雪の木
Crafting Recipe: Jiggly Snowflake,クラフトレシピ：揺れる雪
Crafting Recipe: Warm-Winter Tree,クラフトレシピ：暖冬の木
Crafting Recipe: Flawless Winter,クラフトレシピ：無垢な冬
Crafting Recipe: Toy - Snowman Summoner,クラフトレシピ：玩具・「雪だるま召喚器」
Crafting Recipe: Toy - Winterfest Morph Card I,クラフトレシピ：玩具・氷雪イリュージョン・一
Crafting Recipe: Toy - Winterfest Morph Card II,クラフトレシピ：玩具・氷雪イリュージョン・二
Crafting Recipe: White Wish,クラフトレシピ：白き願い
Crafting Recipe: Nightsong Wreath,クラフトレシピ：祈りの夜のリース
Crafting Recipe: Blessed Ornament I,クラフトレシピ：祝福の彩り・一
Crafting Recipe: Blessed Ornament II,クラフトレシピ：祝福の彩り・二
Crafting Recipe: Stacked Wishes I,クラフトレシピ：積み重なる願い・一
Crafting Recipe: Stacked Wishes II,クラフトレシピ：積み重なる願い・二
Crafting Recipe: Red Surprise,クラフトレシピ：赤いサプライズ
Crafting Recipe: Belated Gift,クラフトレシピ：遅れてきたプレゼント
Crafting Recipe: Lost Warmth,クラフトレシピ：遺された温もり
Crafting Recipe: Golden Thoughts,クラフトレシピ：金色の想い
Crafting Materials,クラフト素材
Forge Crafting,クラフト鍛錬
Community leader,クラブ担当者
Clarisse,クラリス
Clarence,クラレンス
Cleary,クリアリー
Chris,クリス
Crystals,クリスタル
Christo,クリスト
Crispin,クリスピン
Xmas Tree,クリスマスツリー・ガントレット
Christmas Cap,クリスマス帽・頭飾り
Cliplen,クリップミラー
Twinkle Pop,クルクル星・唇飾り
Walnut Timber,クルミの原木
Walnut Lumber,クルミ材
Walnut Coffee Table,クルミ材のローテーブル
Cruise Activity Schedule,クルーズ船イベントスケジュール
Frenzy Countdown,クレイジーカウントダウン
Crazy Goblin Dagger,クレイジーナイフゴブリン
Chrissie,クレシー
Luna,クレセント
Clement,クレマン
Clementine,クレメンタイン
Purification Light,クレンズライト
A bag of wheat cakes,クレープの包み
Blackbird,クロウ
Kronos,クロノス
Krongold,クロンゴールド
The Sealed One,クローザー
Wardrobe Overload Alert!,クローゼットがパンク寸前！
Four-Leaf Phantom Shield,クローバーの幻の盾
Quenna,クンナ
Coupon,クーポン
Trendy Sunglasses,クールなサングラス・顔飾り
Trendy Sunglasses - Facewear Box,クールなサングラス・顔飾りボックス
Deep Minion,クールな手下
Stylish Kiss I,クールな投げキッス・その1
Stylish Kiss II,クールな投げキッス・その2
Cool Ruins Investigator,クールな遺跡調査員
Gwendolyn,グウェンドリン
Grain Devouring Overlord,グッズ集めの王
Thumbs Up (R),グッド・右
Thumbs Up (L),グッド・左
Glass Cannon,グラスキャノン
Meadow Mushroom,グラスダケ
Grady,グラディ
Chef,グランドシェフ
Grit,グリット
Griff,グリフ
Glimmering Boar,グリマーボア
Green,グリン
Grieg,グリーグ
Breezy Boarlet Doll,グリーンウリボのぬいぐるみ
Grugwyn,グルグウィン
Food Columnist,グルメコラムニスト
Gourmet Adventurer,グルメ冒険家
Food Pioneer!,グルメ開拓者！
New Group,グループチャット作成
My Groups,グループ管理
Gracie,グレイシー
Grayson,グレイソン
Grey Crow,グレイ・クロウ
Grey Crow?,グレイ・クロウ？
Gretchen,グレッチェン
Grey is the Grey of Lies,グレーは嘘のグレー
Grey Goblin,グレーゴブリン
Grace,グレース
Grace's Notes (Part 1),グレースの手記（その1）
Grace's Notes (Part 2),グレースの手記（その2）
Grace's Notes (Part 3),グレースの手記（その3）
Grace (Void Spawner),グレース（虚蝕体）
Great Warhog,グレートファング
Great Warhog - Thunder Ball,グレートファング-ライトニングボール
Great Warhog - Resonance,グレートファング-共鳴
Great Warhog - Linear Roar,グレートファング-直線咆哮
Great Warhog - Basic Attack,グレートファング-通常攻撃
Great Warhog - Basic Attack Virtual Body,グレートファング-通常攻撃ダミー
Gray Rock Dragonfly,グレードラゴンフライ
Prison Wolf,グロウル
Gloria,グロリア
Vanguard Strike,グローイングガード
Gloves,グローブ
Glory,グローリー
Grove Wish,グローヴウィッシュ
Rock,グー
Rock 01,グー01
Casey,ケイシー
Caitlyn,ケイリン
Kaelen,ケイレン
Kekap,ケカパ
Quetzal,ケツァル
Kani,ケニー
Kenelm,ケネルム
Beech Timber,ケヤキの原木
Beech Lumber,ケヤキ材
Kelly,ケリー
Covill,ケルビエル
Kent,ケント
Kane,ケーン
Gale,ゲイル
Gale Blast,ゲイルブラスト
Boarrier Storm,ゲイルボア
Boarrier Storm - Basic Attack,ゲイルボア-通常攻撃
Boarrier Storm - Wind Formation,ゲイルボア-風陣
Wind Knight,ゲイルランサー
Wind Knight X10 - G1,ゲイルランサーX10・G1
Wind Knight X10 - G10,ゲイルランサーX10・G10
Wind Knight X10 - G2,ゲイルランサーX10・G2
Wind Knight X10 - G3,ゲイルランサーX10・G3
Wind Knight X10 - G4,ゲイルランサーX10・G4
Wind Knight X10 - G5,ゲイルランサーX10・G5
Wind Knight X10 - G6,ゲイルランサーX10・G6
Wind Knight X10 - G7,ゲイルランサーX10・G7
Wind Knight X10 - G8,ゲイルランサーX10・G8
Wind Knight X10 - G9,ゲイルランサーX10・G9
Wind Knight X11 - G1,ゲイルランサーX11・G1
Wind Knight X11 - G10,ゲイルランサーX11・G10
Wind Knight X11 - G2,ゲイルランサーX11・G2
Wind Knight X11 - G3,ゲイルランサーX11・G3
Wind Knight X11 - G4,ゲイルランサーX11・G4
Wind Knight X11 - G5,ゲイルランサーX11・G5
Wind Knight X11 - G6,ゲイルランサーX11・G6
Wind Knight X11 - G7,ゲイルランサーX11・G7
Wind Knight X11 - G8,ゲイルランサーX11・G8
Wind Knight X11 - G9,ゲイルランサーX11・G9
Wind Knight X1 - G1,ゲイルランサーX1・G1
Wind Knight X1 - G10,ゲイルランサーX1・G10
Wind Knight X1 - G2,ゲイルランサーX1・G2
Wind Knight X1 - G3,ゲイルランサーX1・G3
Wind Knight X1 - G4,ゲイルランサーX1・G4
Wind Knight X1 - G5,ゲイルランサーX1・G5
Wind Knight X1 - G6,ゲイルランサーX1・G6
Wind Knight X1 - G7,ゲイルランサーX1・G7
Wind Knight X1 - G8,ゲイルランサーX1・G8
Wind Knight X1 - G9,ゲイルランサーX1・G9
Wind Knight X2 - G1,ゲイルランサーX2・G1
Wind Knight X2 - G10,ゲイルランサーX2・G10
Wind Knight X2 - G2,ゲイルランサーX2・G2
Wind Knight X2 - G3,ゲイルランサーX2・G3
Wind Knight X2 - G4,ゲイルランサーX2・G4
Wind Knight X2 - G5,ゲイルランサーX2・G5
Wind Knight X2 - G6,ゲイルランサーX2・G6
Wind Knight X2 - G7,ゲイルランサーX2・G7
Wind Knight X2 - G8,ゲイルランサーX2・G8
Wind Knight X2 - G9,ゲイルランサーX2・G9
Wind Knight X3 - G1,ゲイルランサーX3・G1
Wind Knight X3 - G10,ゲイルランサーX3・G10
Wind Knight X3 - G2,ゲイルランサーX3・G2
Wind Knight X3 - G3,ゲイルランサーX3・G3
Wind Knight X3 - G4,ゲイルランサーX3・G4
Wind Knight X3 - G5,ゲイルランサーX3・G5
Wind Knight X3 - G6,ゲイルランサーX3・G6
Wind Knight X3 - G7,ゲイルランサーX3・G7
Wind Knight X3 - G8,ゲイルランサーX3・G8
Wind Knight X3 - G9,ゲイルランサーX3・G9
Wind Knight X4 - G1,ゲイルランサーX4・G1
Wind Knight X4 - G10,ゲイルランサーX4・G10
Wind Knight X4 - G2,ゲイルランサーX4・G2
Wind Knight X4 - G3,ゲイルランサーX4・G3
Wind Knight X4 - G4,ゲイルランサーX4・G4
Wind Knight X4 - G5,ゲイルランサーX4・G5
Wind Knight X4 - G6,ゲイルランサーX4・G6
Wind Knight X4 - G7,ゲイルランサーX4・G7
Wind Knight X4 - G8,ゲイルランサーX4・G8
Wind Knight X4 - G9,ゲイルランサーX4・G9
Wind Knight X5 - G1,ゲイルランサーX5・G1
Wind Knight X5 - G10,ゲイルランサーX5・G10
Wind Knight X5 - G2,ゲイルランサーX5・G2
Wind Knight X5 - G3,ゲイルランサーX5・G3
Wind Knight X5 - G4,ゲイルランサーX5・G4
Wind Knight X5 - G5,ゲイルランサーX5・G5
Wind Knight X5 - G6,ゲイルランサーX5・G6
Wind Knight X5 - G7,ゲイルランサーX5・G7
Wind Knight X5 - G8,ゲイルランサーX5・G8
Wind Knight X5 - G9,ゲイルランサーX5・G9
Wind Knight X6 - G1,ゲイルランサーX6・G1
Wind Knight X6 - G10,ゲイルランサーX6・G10
Wind Knight X6 - G2,ゲイルランサーX6・G2
Wind Knight X6 - G3,ゲイルランサーX6・G3
Wind Knight X6 - G4,ゲイルランサーX6・G4
Wind Knight X6 - G5,ゲイルランサーX6・G5
Wind Knight X6 - G6,ゲイルランサーX6・G6
Wind Knight X6 - G7,ゲイルランサーX6・G7
Wind Knight X6 - G8,ゲイルランサーX6・G8
Wind Knight X6 - G9,ゲイルランサーX6・G9
Wind Knight X7 - G1,ゲイルランサーX7・G1
Wind Knight X7 - G10,ゲイルランサーX7・G10
Wind Knight X7 - G2,ゲイルランサーX7・G2
Wind Knight X7 - G3,ゲイルランサーX7・G3
Wind Knight X7 - G4,ゲイルランサーX7・G4
Wind Knight X7 - G5,ゲイルランサーX7・G5
Wind Knight X7 - G6,ゲイルランサーX7・G6
Wind Knight X7 - G7,ゲイルランサーX7・G7
Wind Knight X7 - G8,ゲイルランサーX7・G8
Wind Knight X7 - G9,ゲイルランサーX7・G9
Wind Knight X8 - G1,ゲイルランサーX8・G1
Wind Knight X8 - G10,ゲイルランサーX8・G10
Wind Knight X8 - G2,ゲイルランサーX8・G2
Wind Knight X8 - G3,ゲイルランサーX8・G3
Wind Knight X8 - G4,ゲイルランサーX8・G4
Wind Knight X8 - G5,ゲイルランサーX8・G5
Wind Knight X8 - G6,ゲイルランサーX8・G6
Wind Knight X8 - G7,ゲイルランサーX8・G7
Wind Knight X8 - G8,ゲイルランサーX8・G8
Wind Knight X8 - G9,ゲイルランサーX8・G9
Wind Knight X9 - G1,ゲイルランサーX9・G1
Wind Knight X9 - G10,ゲイルランサーX9・G10
Wind Knight X9 - G2,ゲイルランサーX9・G2
Wind Knight X9 - G3,ゲイルランサーX9・G3
Wind Knight X9 - G4,ゲイルランサーX9・G4
Wind Knight X9 - G5,ゲイルランサーX9・G5
Wind Knight X9 - G6,ゲイルランサーX9・G6
Wind Knight X9 - G7,ゲイルランサーX9・G7
Wind Knight X9 - G8,ゲイルランサーX9・G8
Wind Knight X9 - G9,ゲイルランサーX9・G9
Become a Wind Knight!,ゲイルランサーになろう！
Wind Knight Advance Book,ゲイルランサーの書
Wind Knight - Wind Gate Damage Buff,ゲイルランサー・ウィンドリング増幅
Wind Knight - Sevenfold Tornado,ゲイルランサー・七連トルネード
Wind Knight - Skyward Spec,ゲイルランサー・乱風型
Wind Knight - Double Wind Gate,ゲイルランサー・二連ウィンドリング
Wind Knight - Extreme Instant Edge,ゲイルランサー・刹那鋭閃
Wind Knight - Courage Crit Damage,ゲイルランサー・勇気爆傷
Wind Knight - Sever Wind Summoning,ゲイルランサー・嵐斬招風
Wind Knight Stasis X1 - G1,ゲイルランサー・恒常性X1・G1
Wind Knight Stasis X1 - G10,ゲイルランサー・恒常性X1・G10
Wind Knight Stasis X1 - G2,ゲイルランサー・恒常性X1・G2
Wind Knight Stasis X1 - G3,ゲイルランサー・恒常性X1・G3
Wind Knight Stasis X1 - G4,ゲイルランサー・恒常性X1・G4
Wind Knight Stasis X1 - G5,ゲイルランサー・恒常性X1・G5
Wind Knight Stasis X1 - G6,ゲイルランサー・恒常性X1・G6
Wind Knight Stasis X1 - G7,ゲイルランサー・恒常性X1・G7
Wind Knight Stasis X1 - G8,ゲイルランサー・恒常性X1・G8
Wind Knight Stasis X1 - G9,ゲイルランサー・恒常性X1・G9
Wind Knight Stasis X2 - G1,ゲイルランサー・恒常性X2・G1
Wind Knight Stasis X2 - G10,ゲイルランサー・恒常性X2・G10
Wind Knight Stasis X2 - G2,ゲイルランサー・恒常性X2・G2
Wind Knight Stasis X2 - G3,ゲイルランサー・恒常性X2・G3
Wind Knight Stasis X2 - G4,ゲイルランサー・恒常性X2・G4
Wind Knight Stasis X2 - G5,ゲイルランサー・恒常性X2・G5
Wind Knight Stasis X2 - G6,ゲイルランサー・恒常性X2・G6
Wind Knight Stasis X2 - G7,ゲイルランサー・恒常性X2・G7
Wind Knight Stasis X2 - G8,ゲイルランサー・恒常性X2・G8
Wind Knight Stasis X2 - G9,ゲイルランサー・恒常性X2・G9
Wind Knight - Vanguard Spec,ゲイルランサー・烈風型
Wind Knight Rhapsody X1 - G1,ゲイルランサー・狂想X1・G1
Wind Knight Rhapsody X1 - G10,ゲイルランサー・狂想X1・G10
Wind Knight Rhapsody X1 - G2,ゲイルランサー・狂想X1・G2
Wind Knight Rhapsody X1 - G3,ゲイルランサー・狂想X1・G3
Wind Knight Rhapsody X1 - G4,ゲイルランサー・狂想X1・G4
Wind Knight Rhapsody X1 - G5,ゲイルランサー・狂想X1・G5
Wind Knight Rhapsody X1 - G6,ゲイルランサー・狂想X1・G6
Wind Knight Rhapsody X1 - G7,ゲイルランサー・狂想X1・G7
Wind Knight Rhapsody X1 - G8,ゲイルランサー・狂想X1・G8
Wind Knight Rhapsody X1 - G9,ゲイルランサー・狂想X1・G9
Wind Knight Rhapsody X2 - G1,ゲイルランサー・狂想X2・G1
Wind Knight Rhapsody X2 - G10,ゲイルランサー・狂想X2・G10
Wind Knight Rhapsody X2 - G2,ゲイルランサー・狂想X2・G2
Wind Knight Rhapsody X2 - G3,ゲイルランサー・狂想X2・G3
Wind Knight Rhapsody X2 - G4,ゲイルランサー・狂想X2・G4
Wind Knight Rhapsody X2 - G5,ゲイルランサー・狂想X2・G5
Wind Knight Rhapsody X2 - G6,ゲイルランサー・狂想X2・G6
Wind Knight Rhapsody X2 - G7,ゲイルランサー・狂想X2・G7
Wind Knight Rhapsody X2 - G8,ゲイルランサー・狂想X2・G8
Wind Knight Rhapsody X2 - G9,ゲイルランサー・狂想X2・G9
Wind Knight Rhapsody X3 - G1,ゲイルランサー・狂想X3・G1
Wind Knight Rhapsody X3 - G10,ゲイルランサー・狂想X3・G10
Wind Knight Rhapsody X3 - G2,ゲイルランサー・狂想X3・G2
Wind Knight Rhapsody X3 - G3,ゲイルランサー・狂想X3・G3
Wind Knight Rhapsody X3 - G4,ゲイルランサー・狂想X3・G4
Wind Knight Rhapsody X3 - G5,ゲイルランサー・狂想X3・G5
Wind Knight Rhapsody X3 - G6,ゲイルランサー・狂想X3・G6
Wind Knight Rhapsody X3 - G7,ゲイルランサー・狂想X3・G7
Wind Knight Rhapsody X3 - G8,ゲイルランサー・狂想X3・G8
Wind Knight Rhapsody X3 - G9,ゲイルランサー・狂想X3・G9
Wind Knight Rhapsody X4 - G1,ゲイルランサー・狂想X4・G1
Wind Knight Rhapsody X4 - G10,ゲイルランサー・狂想X4・G10
Wind Knight Rhapsody X4 - G2,ゲイルランサー・狂想X4・G2
Wind Knight Rhapsody X4 - G3,ゲイルランサー・狂想X4・G3
Wind Knight Rhapsody X4 - G4,ゲイルランサー・狂想X4・G4
Wind Knight Rhapsody X4 - G5,ゲイルランサー・狂想X4・G5
Wind Knight Rhapsody X4 - G6,ゲイルランサー・狂想X4・G6
Wind Knight Rhapsody X4 - G7,ゲイルランサー・狂想X4・G7
Wind Knight Rhapsody X4 - G8,ゲイルランサー・狂想X4・G8
Wind Knight Rhapsody X4 - G9,ゲイルランサー・狂想X4・G9
Wind Knight - Instant Edge Sharp Damage,ゲイルランサー・瞬鋭裂傷
Wind Knight - Drake Cannon Wind Gate,ゲイルランサー・竜砲ウィンドリング
Wind Knight - Spiral CD Reduction,ゲイルランサー・螺旋リキャスト短縮
Wind Knight - Spiral Breach Pursuit,ゲイルランサー・螺旋破追
Wind Knight - Self-Generating Sharpness,ゲイルランサー・鋭利再生
Wind Knight - Extreme Galeform,ゲイルランサー・風姿疾走
Wind Knight - Wind Fury Triple Stack,ゲイルランサー・風怒三撃
Wind Knight - Wind Fury Celerity,ゲイルランサー・風怒迅撃
Wind Knight - Wind Essence Siphon,ゲイルランサー・風意吸収
Wind Knight - Skyfall Recharge,ゲイルランサー・飛燕乱チャージ
Gale Lizard,ゲイルリザード
Gale Lizard Sigil,ゲイルリザードの刻印
Gale Lizard Sigil Lv.3,ゲイルリザードの刻印・極
Gale Lizard Sigil Lv.2,ゲイルリザードの刻印・精
Captain Gale,ゲイル隊長
Gaido,ゲド
Attempt to Lower the Gate,ゲートを下げてみる
Try to open the main door,ゲートを開けてみる
Early Common Chest,ゲート開放の普通宝箱
Early Fine Chest,ゲート開放の洗練宝箱
Early Grand Chest,ゲート開放の華麗宝箱
Game Ends in {*str*}s,ゲームは{*str*}秒後に終了
Game Begins in {*str*}s,ゲームは{*str*}秒後に開始
Finish,ゲームクリア
Game Center,ゲームセンター
Vertical Sensitivity,ゲームパッド：カメラ垂直感度
Horizontal Sensitivity,ゲームパッド：カメラ水平感度
Cursor Speed,ゲームパッド：カーソル速度
Voice,ゲームボイス
Game Box Avatar Frame,ゲームボックス限定-アイコンフレーム
Game Host,ゲームマスター
Game Scope,ゲーム範囲
Game Over,ゲーム終了
Game Start: Became a Stalker,ゲーム開始。あなたはステルサーです
Game Start: Became a Shadow Hunter,ゲーム開始。あなたはハンターです
Nuclear Impact,コアインパクト
Core Overclock I,コアオーバークロック・一
Core Overclock III,コアオーバークロック・三
Core Overclock II,コアオーバークロック・二
Core Overclock V,コアオーバークロック・五
Core Overclock VI,コアオーバークロック・六
Core Overclock IV,コアオーバークロック・四
Asterscad Scholar,コアジ学者​
Asterscad Fishing King,コアジ釣り王
Core Skill - Dagger of Execution,コアスキル-処刑の短剣
Core Skill - Dagger of Execution - Dagger Dummy,コアスキル-処刑の短剣-短剣ダミー
Core Skill - Shackles of Souls - Failure Dummy,コアスキル-魂拘束の鎖-失敗ダミー
Core Connector,コアリンクパーツ
Core - Ultimate Boundary,コア・極限境界
Proceed to the Core Assault Zone,コア攻略エリアに向かう
Destroy the core,コア破壊
Coin Aura - 1,コインオーラ1
Coin Aura - 2,コインオーラ2
Coin Aura - 3,コインオーラ3
Coin Aura - 4,コインオーラ4
Coin Aura - 5,コインオーラ5
Coin Aura - 6,コインオーラ6
Coin Launcher,コインランチャー
Living Hoard,コイン本体
Cochran,コクレル
Cochran's Shop,コクレルの店
Defeat Cochran,コクレルを撃破
Rich Flavor Condiment,コク旨ペッパーソース
Rich Flavor Condiment Lv.1,コク旨ペッパーソースG1
Rich Flavor Condiment Lv.2,コク旨ペッパーソースG2
Kecito,コジット
Esteemed Adventurer,コツコツ冒険者
Connor,コナー
Connie,コニー
Scallion Turtle,コネギガメ
Cobalt-Iron Ingot,コバルトのインゴット
Cobalt-iron Ring,コバルトのリング
Cobalt-Iron Ring x4,コバルトのリング×4
Cobalt-iron Plate,コバルトの板
Cobalt-Iron Ore,コバルト鉱石
Socially Anxious Guest,コミュ障の客
Coyol,コユル
Collaboration Vendor,コラボ販売員
Colin,コリン
Kolk,コルク
Cornelius,コルネリアス
Colbert,コルバート
Cobra,コルベラ
Collection Cards,コレクションカード
Monthly Card Overview,コレクションカードについて
Museum Display,コレクションケース
Museum Drawer Unit,コレクション引出ケース
Monthly Card,コレクション月パス
Snuggly Airona - Furniture,コロコロアルーナ・家具
Snuggly Airona,コロコロアルーナ・頭飾り
Snuggly Ee-chan - Furniture,コロコロイー・家具
Snuggly Ee-chan,コロコロイー・頭飾り
Snuggly Olvera - Furniture,コロコロオルヴェラ・家具
Snuggly Olvera,コロコロオルヴェラ・頭飾り
Snuggly Goblin - Furniture,コロコロゴブリン・家具
Snuggly Goblin,コロコロゴブリン・頭飾り
Snuggly Carla,コロコロシャルル・頭飾り
Sphere Slam,コロコロタックル
Snuggly Darya - Furniture,コロコロダヤ・家具
Snuggly Darya,コロコロダヤ・頭飾り
Snuggly Tina - Furniture,コロコロティナ・家具
Snuggly Tina,コロコロティナ・頭飾り
Sleepy Nappo - Furniture,コロコロナッポ・家具
Sleepy Nappo,コロコロナッポ・頭飾り
Snuggly Narulu,コロコロナルル・頭飾り
Snuggly Happy,コロコロハッピー・頭飾り
Snuggly Fafala - Furniture,コロコロファルファラ・家具
Snuggly Fafala,コロコロファルファラ・頭飾り
Snuggly Boyce - Furniture,コロコロボイス・家具
Snuggly Boyce,コロコロボイス・頭飾り
Snuggly Rorola - Furniture,コロコロロローラ・家具
Snuggly Rorola,コロコロロローラ・頭飾り
Sleepy Puppy - Furniture,コロコロ子犬・家具
Sleepy Puppy,コロコロ子犬・頭飾り
Design for Sleepy Puppy,コロコロ子犬・頭飾りの設計図
Sleepy Kitty - Furniture,コロコロ子猫・家具
Sleepy Kitty,コロコロ子猫・頭飾り
Design for Sleepy Kitty,コロコロ子猫・頭飾りの設計図
Snuggly Hitagi Senjyogahara,コロコロ戦場ヶ原ひたぎ・頭飾り
Snuggly Koyomi Araragi,コロコロ阿良々木暦・頭飾り
Arena,コロシアム
Corrosive Snake Egg,コロージョンスネークの卵
Zeal Crusade,コンクエスト
Concava,コンケイブミラー
Concert,コンサート
Constantine,コンスタン
Constantine's Underling,コンスタンの部下
Defeat Constantine's subordinates,コンスタンの部下を倒す
Constance,コンスタンス
Content mechanism test scene,コンテンツメカニズムテストシーン
Controller,コントローラー
A compass,コンパス
Convexor,コンベックスミラー
Conrad,コンラッド
Corgi Plush,コーギー・頭飾り
Design for Corgi Plush,コーギー・頭飾りの設計図
Koji,コージィ
Court,コート
Design for Code Robot,コード「ロボット」・セットの設計図
Code Robot Pack,コード：ロボット
Code Robot,コード：ロボット・セット
Corner Counter - Reunion,コーナーカウンター・再会
Corner Counter - First Meeting,コーナーカウンター・出会い
Healing Beat,コーラスヒーリング
Healing Beat copy,コーラスヒーリングcopy
Cold Pulse,コールドパルス
Cove,コーヴ
Gunnar,ゴネル
Godfrey,ゴフレイ
Goblin,ゴブリン
Goblin*9 (Active),ゴブリン※9（アクティブ）
Goblin*9 (Passive),ゴブリン※9（パッシブ）
Goblin Plush Backpack,ゴブリンぬいぐるみ・背飾り
Goblin Mane,ゴブリンのたてがみ
Goblin Doll α,ゴブリンのぬいぐるみα
Goblin Doll β,ゴブリンのぬいぐるみβ
Goblin Fang,ゴブリンのキバ
Goblin Tail,ゴブリンの尻尾
Goblin Lair - Bane Reward II,ゴブリンの巣災厄報酬Ⅱ
Goblin Lair First-Clear Reward I,ゴブリンの巣穴初回クリア報酬Ⅰ
Goblin Lair First-Clear Reward II,ゴブリンの巣穴初回クリア報酬Ⅱ
Goblin Lair First-Clear Reward III,ゴブリンの巣穴初回クリア報酬Ⅲ
